Date,Open,High,Low,Close,Adj Close    Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Nov 13, 2024","5,985.75","6,008.19","5,965.91","5,985.38","5,985.38","4,220,180,000"
"Nov 12, 2024","6,003.60","6,009.92","5,960.08","5,983.99","5,983.99","4,243,400,000"
"Nov 11, 2024","6,008.86","6,017.31","5,986.69","6,001.35","6,001.35","4,333,000,000"
"Nov 8, 2024","5,976.76","6,012.45","5,976.76","5,995.54","5,995.54","4,666,740,000"
"Nov 7, 2024","5,947.21","5,983.84","5,947.21","5,973.10","5,973.10","4,925,740,000"
"Nov 6, 2024","5,864.89","5,936.14","5,864.89","5,929.04","5,929.04","6,329,530,000"
"Nov 5, 2024","5,722.43","5,783.44","5,722.10","5,782.76","5,782.76","3,768,310,000"
"Nov 4, 2024","5,725.15","5,741.43","5,696.51","5,712.69","5,712.69","3,602,060,000"
"Nov 1, 2024","5,723.22","5,772.52","5,723.22","5,728.80","5,728.80","3,796,450,000"
"Oct 31, 2024","5,775.34","5,775.34","5,702.86","5,705.45","5,705.45","4,425,660,000"
"Oct 30, 2024","5,832.65","5,850.94","5,811.28","5,813.67","5,813.67","3,851,120,000"
"Oct 29, 2024","5,819.68","5,847.19","5,802.17","5,832.92","5,832.92","3,879,100,000"
"Oct 28, 2024","5,833.93","5,842.92","5,823.08","5,823.52","5,823.52","3,691,280,000"
"Oct 25, 2024","5,826.75","5,862.82","5,799.98","5,808.12","5,808.12","3,501,280,000"
"Oct 24, 2024","5,817.80","5,817.80","5,784.92","5,809.86","5,809.86","3,543,030,000"
"Oct 23, 2024","5,834.50","5,834.85","5,762.41","5,797.42","5,797.42","3,532,650,000"
"Oct 22, 2024","5,832.70","5,863.04","5,821.17","5,851.20","5,851.20","3,342,080,000"
"Oct 21, 2024","5,857.82","5,866.92","5,824.79","5,853.98","5,853.98","3,407,010,000"
"Oct 18, 2024","5,859.43","5,872.17","5,846.11","5,864.67","5,864.67","3,374,490,000"
"Oct 17, 2024","5,875.62","5,878.46","5,840.25","5,841.47","5,841.47","3,480,010,000"
"Oct 16, 2024","5,816.58","5,846.52","5,808.34","5,842.47","5,842.47","3,467,230,000"
"Oct 15, 2024","5,866.74","5,870.36","5,804.48","5,815.26","5,815.26","3,882,120,000"
"Oct 14, 2024","5,829.81","5,871.41","5,829.57","5,859.85","5,859.85","3,005,250,000"
"Oct 11, 2024","5,775.09","5,822.13","5,775.09","5,815.03","5,815.03","3,208,720,000"
"Oct 10, 2024","5,778.36","5,795.03","5,764.76","5,780.05","5,780.05","3,208,790,000"
"Oct 9, 2024","5,751.80","5,796.80","5,745.02","5,792.04","5,792.04","3,650,340,000"
"Oct 8, 2024","5,719.14","5,757.60","5,714.56","5,751.13","5,751.13","3,393,400,000"
"Oct 7, 2024","5,737.80","5,739.34","5,686.85","5,695.94","5,695.94","3,637,790,000"
"Oct 4, 2024","5,737.48","5,753.21","5,702.83","5,751.07","5,751.07","3,479,400,000"
"Oct 3, 2024","5,698.19","5,718.78","5,677.37","5,699.94","5,699.94","3,597,450,000"
"Oct 2, 2024","5,698.14","5,719.63","5,674.00","5,709.54","5,709.54","3,829,050,000"
"Oct 1, 2024","5,757.73","5,757.73","5,681.28","5,708.75","5,708.75","4,025,180,000"
"Sep 30, 2024","5,726.52","5,765.14","5,703.53","5,762.48","5,762.48","4,425,730,000"
"Sep 27, 2024","5,755.36","5,763.78","5,727.34","5,738.17","5,738.17","3,898,530,000"
"Sep 26, 2024","5,762.22","5,767.37","5,721.01","5,745.37","5,745.37","4,391,180,000"
"Sep 25, 2024","5,733.65","5,741.03","5,712.06","5,722.26","5,722.26","3,624,910,000"
"Sep 24, 2024","5,727.66","5,735.32","5,698.99","5,732.93","5,732.93","3,872,710,000"
"Sep 23, 2024","5,711.90","5,725.36","5,704.22","5,718.57","5,718.57","3,529,550,000"
"Sep 20, 2024","5,709.64","5,715.14","5,674.49","5,702.55","5,702.55","7,867,260,000"
"Sep 19, 2024","5,702.63","5,733.57","5,686.42","5,713.64","5,713.64","4,024,530,000"
"Sep 18, 2024","5,641.68","5,689.75","5,615.08","5,618.26","5,618.26","3,691,390,000"
"Sep 17, 2024","5,655.51","5,670.81","5,614.05","5,634.58","5,634.58","3,443,600,000"
