Medida;Tipo de dato;Periodo;Total
Viajeros;Dato base;2024T2;176.143.368
Viajeros;Dato base;2024T1;167.000.050
Viajeros;Dato base;2023T4;171.106.677
Viajeros;Dato base;2023T3;157.015.241
Viajeros;Dato base;2023T2;164.271.897
Viajeros;Dato base;2023T1;161.347.533
Viajeros;Dato base;2022T4;158.563.216
Viajeros;Dato base;2022T3;127.617.979
Viajeros;Dato base;2022T2;134.844.605
Viajeros;Dato base;2022T1;120.568.177
Viajeros;Dato base;2021T4;122.040.885
Viajeros;Dato base;2021T3;99.936.977
Viajeros;Dato base;2021T2;100.546.963
Viajeros;Dato base;2021T1;81.866.730
Viajeros;Dato base;2020T4;85.389.907
Viajeros;Dato base;2020T3;77.545.397
Viajeros;Dato base;2020T2;35.047.500
Viajeros;Dato base;2020T1;131.494.510
Viajeros;Dato base;2019T4;165.980.376
Viajeros;Dato base;2019T3;139.321.325
Viajeros;Dato base;2019T2;160.348.073
Viajeros;Dato base;2019T1;161.457.841
Viajeros;Dato base;2018T4;165.269.379
Viajeros;Dato base;2018T3;140.311.097
Viajeros;Dato base;2018T2;163.228.902
Viajeros;Dato base;2018T1;150.246.047
Viajeros;Dato base;2017T4;158.497.166
Viajeros;Dato base;2017T3;134.747.548
Viajeros;Dato base;2017T2;151.486.750
Viajeros;Dato base;2017T1;148.622.967
Viajeros;Dato base;2016T4;150.039.240
Viajeros;Dato base;2016T3;130.352.920
Viajeros;Dato base;2016T2;149.341.300
Viajeros;Dato base;2016T1;140.008.498
Viajeros;Dato base;2015T4;149.125.431
Viajeros;Dato base;2015T3;128.486.754
Viajeros;Dato base;2015T2;144.167.136
Viajeros;Dato base;2015T1;140.193.460
Viajeros;Dato base;2014T4;149.670.808
Viajeros;Dato base;2014T3;124.124.600
Viajeros;Dato base;2014T2;144.252.125
Viajeros;Dato base;2014T1;141.285.387
Viajeros;Dato base;2013T4;148.672.623
Viajeros;Dato base;2013T3;122.310.123
Viajeros;Dato base;2013T2;144.004.197
Viajeros;Dato base;2013T1;143.638.419
Viajeros;Dato base;2012T4;145.120.639
Viajeros;Dato base;2012T3;121.745.633
Viajeros;Dato base;2012T2;142.603.051
Viajeros;Dato base;2012T1;145.885.551
Viajeros;Dato base;2011T4;149.226.028
Viajeros;Dato base;2011T3;125.713.176
Viajeros;Dato base;2011T2;146.521.012
Viajeros;Dato base;2011T1;144.482.993
Viajeros;Dato base;2010T4;145.152.679
Viajeros;Dato base;2010T3;123.561.582
Viajeros;Dato base;2010T2;144.482.139
Viajeros;Dato base;2010T1;139.733.896
Viajeros;Variación anual;2024T2;7,2
Viajeros;Variación anual;2024T1;3,5
Viajeros;Variación anual;2023T4;7,9
Viajeros;Variación anual;2023T3;23
Viajeros;Variación anual;2023T2;21,8
Viajeros;Variación anual;2023T1;33,8
Viajeros;Variación anual;2022T4;33,3
Viajeros;Variación anual;2022T3;27,7
Viajeros;Variación anual;2022T2;34,1
Viajeros;Variación anual;2022T1;47,3
Viajeros;Variación anual;2021T4;42,9
Viajeros;Variación anual;2021T3;28,9
Viajeros;Variación anual;2021T2;186,9
Viajeros;Variación anual;2021T1;-37,7
Viajeros;Variación anual;2020T4;-48,6
Viajeros;Variación anual;2020T3;-44,3
Viajeros;Variación anual;2020T2;-78,1
Viajeros;Variación anual;2020T1;-18,6
Viajeros;Variación anual;2019T4;0,4
Viajeros;Variación anual;2019T3;-0,7
Viajeros;Variación anual;2019T2;-1,8
Viajeros;Variación anual;2019T1;7,5
Viajeros;Variación anual;2018T4;4,3
Viajeros;Variación anual;2018T3;4,1
Viajeros;Variación anual;2018T2;7,8
Viajeros;Variación anual;2018T1;1,1
Viajeros;Variación anual;2017T4;5,6
Viajeros;Variación anual;2017T3;3,4
Viajeros;Variación anual;2017T2;1,4
Viajeros;Variación anual;2017T1;6,2
Viajeros;Variación anual;2016T4;0,6
Viajeros;Variación anual;2016T3;1,5
Viajeros;Variación anual;2016T2;3,6
Viajeros;Variación anual;2016T1;-0,1
Viajeros;Variación anual;2015T4;-0,4
Viajeros;Variación anual;2015T3;3,5
Viajeros;Variación anual;2015T2;-0,1
Viajeros;Variación anual;2015T1;-0,8
Viajeros;Variación anual;2014T4;0,7
Viajeros;Variación anual;2014T3;1,5
Viajeros;Variación anual;2014T2;0,2
Viajeros;Variación anual;2014T1;-1,6
Viajeros;Variación anual;2013T4;2,4
Viajeros;Variación anual;2013T3;0,5
Viajeros;Variación anual;2013T2;1
Viajeros;Variación anual;2013T1;-1,5
Viajeros;Variación anual;2012T4;-2,8
Viajeros;Variación anual;2012T3;-3,2
Viajeros;Variación anual;2012T2;-2,7
Viajeros;Variación anual;2012T1;1
Viajeros;Variación anual;2011T4;2,8
Viajeros;Variación anual;2011T3;1,7
Viajeros;Variación anual;2011T2;1,4
Viajeros;Variación anual;2011T1;3,4
Viajeros;Variación anual;2010T4;""
Viajeros;Variación anual;2010T3;""
Viajeros;Variación anual;2010T2;""
Viajeros;Variación anual;2010T1;""
Viajeros;Variación de la media en lo que va de año;2024T2;5,4
Viajeros;Variación de la media en lo que va de año;2024T1;3,5
Viajeros;Variación de la media en lo que va de año;2023T4;20,7
Viajeros;Variación de la media en lo que va de año;2023T3;26
Viajeros;Variación de la media en lo que va de año;2023T2;27,5
Viajeros;Variación de la media en lo que va de año;2023T1;33,8
Viajeros;Variación de la media en lo que va de año;2022T4;33,3
Viajeros;Variación de la media en lo que va de año;2022T3;35,7
