Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
Total Nacional;;;Provincia;Total;2019;69.547
Total Nacional;;;Provincia;Total;2018;69.832
Total Nacional;;;Provincia;Total;2017;70.068
Total Nacional;;;Provincia;Total;2016;70.084
Total Nacional;;;Provincia;Total;2015;70.363
Total Nacional;;;Provincia;Total;2014;70.541
Total Nacional;;;Provincia;Total;2013;70.670
Total Nacional;;;Provincia;Total;2012;70.713
Total Nacional;;;Provincia;Total;2011;70.418
Total Nacional;;;Provincia;Total;2010;70.646
Total Nacional;;;Provincia;Total;2009;70.597
Total Nacional;;;Provincia;Total;2008;70.332
Total Nacional;;;Provincia;Total;2007;70.276
Total Nacional;;;Provincia;Total;2006;69.862
Total Nacional;;;Provincia;Total;2005;69.884
Total Nacional;;;Provincia;Total;2004;69.712
Total Nacional;;;Provincia;Total;2003;69.566
Total Nacional;;;Provincia;Total;2002;69.681
Total Nacional;;;Provincia;Total;2001;69.889
Total Nacional;;;Provincia;Total;2000;69.769
Total Nacional;;;Provincia;Total;1999;69.935
Total Nacional;;;Provincia;Total;1998;70.373
Total Nacional;;;Provincia;Total;1997;70.561
Total Nacional;;;Provincia;Total;1996;71.081
Total Nacional;;;Provincia;Total;1995;71.265
Total Nacional;;;Provincia;Total;1994;72.072
Total Nacional;;;Provincia;Con taxímetro;2019;61.390
Total Nacional;;;Provincia;Con taxímetro;2018;61.552
Total Nacional;;;Provincia;Con taxímetro;2017;61.384
Total Nacional;;;Provincia;Con taxímetro;2016;61.250
Total Nacional;;;Provincia;Con taxímetro;2015;60.935
Total Nacional;;;Provincia;Con taxímetro;2014;60.092
Total Nacional;;;Provincia;Con taxímetro;2013;59.459
Total Nacional;;;Provincia;Con taxímetro;2012;59.243
Total Nacional;;;Provincia;Con taxímetro;2011;58.372
Total Nacional;;;Provincia;Con taxímetro;2010;58.378
Total Nacional;;;Provincia;Con taxímetro;2009;58.200
Total Nacional;;;Provincia;Con taxímetro;2008;57.672
Total Nacional;;;Provincia;Con taxímetro;2007;57.549
Total Nacional;;;Provincia;Con taxímetro;2006;56.880
Total Nacional;;;Provincia;Con taxímetro;2005;56.336
Total Nacional;;;Provincia;Con taxímetro;2004;55.733
Total Nacional;;;Provincia;Con taxímetro;2003;55.309
Total Nacional;;;Provincia;Con taxímetro;2002;54.996
Total Nacional;;;Provincia;Con taxímetro;2001;54.725
Total Nacional;;;Provincia;Con taxímetro;2000;54.401
Total Nacional;;;Provincia;Con taxímetro;1999;54.774
Total Nacional;;;Provincia;Con taxímetro;1998;54.821
Total Nacional;;;Provincia;Con taxímetro;1997;54.465
Total Nacional;;;Provincia;Con taxímetro;1996;54.026
Total Nacional;;;Provincia;Con taxímetro;1995;53.520
Total Nacional;;;Provincia;Con taxímetro;1994;53.431
Total Nacional;;;Provincia;Sin taxímetro;2019;8.157
Total Nacional;;;Provincia;Sin taxímetro;2018;8.280
Total Nacional;;;Provincia;Sin taxímetro;2017;8.684
Total Nacional;;;Provincia;Sin taxímetro;2016;8.834
Total Nacional;;;Provincia;Sin taxímetro;2015;9.428
Total Nacional;;;Provincia;Sin taxímetro;2014;10.449
Total Nacional;;;Provincia;Sin taxímetro;2013;11.211
Total Nacional;;;Provincia;Sin taxímetro;2012;11.470
Total Nacional;;;Provincia;Sin taxímetro;2011;12.046
Total Nacional;;;Provincia;Sin taxímetro;2010;12.268
Total Nacional;;;Provincia;Sin taxímetro;2009;12.397
Total Nacional;;;Provincia;Sin taxímetro;2008;12.660
Total Nacional;;;Provincia;Sin taxímetro;2007;12.727
Total Nacional;;;Provincia;Sin taxímetro;2006;12.982
Total Nacional;;;Provincia;Sin taxímetro;2005;13.548
Total Nacional;;;Provincia;Sin taxímetro;2004;13.979
Total Nacional;;;Provincia;Sin taxímetro;2003;14.257
Total Nacional;;;Provincia;Sin taxímetro;2002;14.685
Total Nacional;;;Provincia;Sin taxímetro;2001;15.164
Total Nacional;;;Provincia;Sin taxímetro;2000;15.368
Total Nacional;;;Provincia;Sin taxímetro;1999;15.161
Total Nacional;;;Provincia;Sin taxímetro;1998;15.552
Total Nacional;;;Provincia;Sin taxímetro;1997;16.096
Total Nacional;;;Provincia;Sin taxímetro;1996;17.055
Total Nacional;;;Provincia;Sin taxímetro;1995;17.745
Total Nacional;;;Provincia;Sin taxímetro;1994;18.641
Total Nacional;;;Capital de Provincia;Total;2019;46.047
Total Nacional;;;Capital de Provincia;Total;2018;46.182
Total Nacional;;;Capital de Provincia;Total;2017;46.336
Total Nacional;;;Capital de Provincia;Total;2016;46.427
Total Nacional;;;Capital de Provincia;Total;2015;46.606
Total Nacional;;;Capital de Provincia;Total;2014;46.673
Total Nacional;;;Capital de Provincia;Total;2013;46.769
Total Nacional;;;Capital de Provincia;Total;2012;46.656
Total Nacional;;;Capital de Provincia;Total;2011;46.670
Total Nacional;;;Capital de Provincia;Total;2010;46.574
Total Nacional;;;Capital de Provincia;Total;2009;46.590
Total Nacional;;;Capital de Provincia;Total;2008;46.405
Total Nacional;;;Capital de Provincia;Total;2007;46.467
Total Nacional;;;Capital de Provincia;Total;2006;46.250
Total Nacional;;;Capital de Provincia;Total;2005;46.159
Total Nacional;;;Capital de Provincia;Total;2004;46.049
Total Nacional;;;Capital de Provincia;Total;2003;45.866
Total Nacional;;;Capital de Provincia;Total;2002;45.957
Total Nacional;;;Capital de Provincia;Total;2001;46.020
Total Nacional;;;Capital de Provincia;Total;2000;45.989
Total Nacional;;;Capital de Provincia;Total;1999;46.150
Total Nacional;;;Capital de Provincia;Total;1998;46.444
Total Nacional;;;Capital de Provincia;Total;1997;46.565
Total Nacional;;;Capital de Provincia;Total;1996;46.777
Total Nacional;;;Capital de Provincia;Total;1995;46.758
Total Nacional;;;Capital de Provincia;Total;1994;46.970
Total Nacional;;;Capital de Provincia;Con taxímetro;2019;46.047
Total Nacional;;;Capital de Provincia;Con taxímetro;2018;46.179
Total Nacional;;;Capital de Provincia;Con taxímetro;2017;46.332
Total Nacional;;;Capital de Provincia;Con taxímetro;2016;46.426
Total Nacional;;;Capital de Provincia;Con taxímetro;2015;46.604
Total Nacional;;;Capital de Provincia;Con taxímetro;2014;46.671
Total Nacional;;;Capital de Provincia;Con taxímetro;2013;46.767
Total Nacional;;;Capital de Provincia;Con taxímetro;2012;46.638
Total Nacional;;;Capital de Provincia;Con taxímetro;2011;46.650
Total Nacional;;;Capital de Provincia;Con taxímetro;2010;46.554
Total Nacional;;;Capital de Provincia;Con taxímetro;2009;46.572
Total Nacional;;;Capital de Provincia;Con taxímetro;2008;46.376
Total Nacional;;;Capital de Provincia;Con taxímetro;2007;46.446
Total Nacional;;;Capital de Provincia;Con taxímetro;2006;46.231
Total Nacional;;;Capital de Provincia;Con taxímetro;2005;46.132
Total Nacional;;;Capital de Provincia;Con taxímetro;2004;45.956
Total Nacional;;;Capital de Provincia;Con taxímetro;2003;45.775
Total Nacional;;;Capital de Provincia;Con taxímetro;2002;45.849
Total Nacional;;;Capital de Provincia;Con taxímetro;2001;45.910
Total Nacional;;;Capital de Provincia;Con taxímetro;2000;45.890
Total Nacional;;;Capital de Provincia;Con taxímetro;1999;45.995
Total Nacional;;;Capital de Provincia;Con taxímetro;1998;46.294
Total Nacional;;;Capital de Provincia;Con taxímetro;1997;46.404
Total Nacional;;;Capital de Provincia;Con taxímetro;1996;46.360
Total Nacional;;;Capital de Provincia;Con taxímetro;1995;46.290
Total Nacional;;;Capital de Provincia;Con taxímetro;1994;46.330
Total Nacional;;;Capital de Provincia;Sin taxímetro;2019;0
Total Nacional;;;Capital de Provincia;Sin taxímetro;2018;3
Total Nacional;;;Capital de Provincia;Sin taxímetro;2017;4
Total Nacional;;;Capital de Provincia;Sin taxímetro;2016;1
Total Nacional;;;Capital de Provincia;Sin taxímetro;2015;2
Total Nacional;;;Capital de Provincia;Sin taxímetro;2014;2
Total Nacional;;;Capital de Provincia;Sin taxímetro;2013;2
Total Nacional;;;Capital de Provincia;Sin taxímetro;2012;18
Total Nacional;;;Capital de Provincia;Sin taxímetro;2011;20
Total Nacional;;;Capital de Provincia;Sin taxímetro;2010;20
Total Nacional;;;Capital de Provincia;Sin taxímetro;2009;18
Total Nacional;;;Capital de Provincia;Sin taxímetro;2008;29
Total Nacional;;;Capital de Provincia;Sin taxímetro;2007;21
Total Nacional;;;Capital de Provincia;Sin taxímetro;2006;19
Total Nacional;;;Capital de Provincia;Sin taxímetro;2005;27
Total Nacional;;;Capital de Provincia;Sin taxímetro;2004;93
Total Nacional;;;Capital de Provincia;Sin taxímetro;2003;91
Total Nacional;;;Capital de Provincia;Sin taxímetro;2002;108
Total Nacional;;;Capital de Provincia;Sin taxímetro;2001;110
Total Nacional;;;Capital de Provincia;Sin taxímetro;2000;99
Total Nacional;;;Capital de Provincia;Sin taxímetro;1999;155
Total Nacional;;;Capital de Provincia;Sin taxímetro;1998;150
Total Nacional;;;Capital de Provincia;Sin taxímetro;1997;161
Total Nacional;;;Capital de Provincia;Sin taxímetro;1996;417
Total Nacional;;;Capital de Provincia;Sin taxímetro;1995;468
Total Nacional;;;Capital de Provincia;Sin taxímetro;1994;640
Total Nacional;01 Andalucía;;Provincia;Total;2019;9.642
Total Nacional;01 Andalucía;;Provincia;Total;2018;9.667
Total Nacional;01 Andalucía;;Provincia;Total;2017;9.742
Total Nacional;01 Andalucía;;Provincia;Total;2016;9.799
Total Nacional;01 Andalucía;;Provincia;Total;2015;9.973
Total Nacional;01 Andalucía;;Provincia;Total;2014;10.055
Total Nacional;01 Andalucía;;Provincia;Total;2013;10.174
Total Nacional;01 Andalucía;;Provincia;Total;2012;10.350
Total Nacional;01 Andalucía;;Provincia;Total;2011;10.257
Total Nacional;01 Andalucía;;Provincia;Total;2010;10.328
Total Nacional;01 Andalucía;;Provincia;Total;2009;10.294
Total Nacional;01 Andalucía;;Provincia;Total;2008;10.307
Total Nacional;01 Andalucía;;Provincia;Total;2007;10.340
Total Nacional;01 Andalucía;;Provincia;Total;2006;10.192
Total Nacional;01 Andalucía;;Provincia;Total;2005;10.140
Total Nacional;01 Andalucía;;Provincia;Total;2004;10.075
Total Nacional;01 Andalucía;;Provincia;Total;2003;10.218
Total Nacional;01 Andalucía;;Provincia;Total;2002;10.132
Total Nacional;01 Andalucía;;Provincia;Total;2001;10.066
Total Nacional;01 Andalucía;;Provincia;Total;2000;10.139
Total Nacional;01 Andalucía;;Provincia;Total;1999;10.045
Total Nacional;01 Andalucía;;Provincia;Total;1998;10.075
Total Nacional;01 Andalucía;;Provincia;Total;1997;10.153
Total Nacional;01 Andalucía;;Provincia;Total;1996;10.260
Total Nacional;01 Andalucía;;Provincia;Total;1995;10.334
Total Nacional;01 Andalucía;;Provincia;Total;1994;10.385
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2019;8.090
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2018;8.174
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2017;8.125
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2016;8.003
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2015;8.057
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2014;7.699
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2013;7.167
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2012;7.167
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2011;6.858
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2010;6.795
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2009;6.701
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2008;6.666
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2007;6.620
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2006;6.546
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2005;6.477
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2004;6.539
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2003;6.493
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2002;6.437
Total Nacional;01 Andalucía;;Provincia;Con taxímetro;2001;6.398
