Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y tasas;Periodo;Total
Total Nacional;;Viajeros transportados;2024M09;173.713
Total Nacional;;Viajeros transportados;2024M08;130.540
Total Nacional;;Viajeros transportados;2024M07;157.422
Total Nacional;;Viajeros transportados;2024M06;167.892
Total Nacional;;Viajeros transportados;2024M05;181.225
Total Nacional;;Viajeros transportados;2024M04;179.568
Total Nacional;;Viajeros transportados;2024M03;165.912
Total Nacional;;Viajeros transportados;2024M02;169.720
Total Nacional;;Viajeros transportados;2024M01;163.859
Total Nacional;;Viajeros transportados;2023M12;157.288
Total Nacional;;Viajeros transportados;2023M11;174.577
Total Nacional;;Viajeros transportados;2023M10;180.951
Total Nacional;;Viajeros transportados;2023M09;166.049
Total Nacional;;Viajeros transportados;2023M08;124.778
Total Nacional;;Viajeros transportados;2023M07;147.412
Total Nacional;;Viajeros transportados;2023M06;160.942
Total Nacional;;Viajeros transportados;2023M05;165.673
Total Nacional;;Viajeros transportados;2023M04;146.446
Total Nacional;;Viajeros transportados;2023M03;166.489
Total Nacional;;Viajeros transportados;2023M02;141.127
Total Nacional;;Viajeros transportados;2023M01;138.348
Total Nacional;;Viajeros transportados;2022M12;133.120
Total Nacional;;Viajeros transportados;2022M11;146.737
Total Nacional;;Viajeros transportados;2022M10;148.633
Total Nacional;;Viajeros transportados;2022M09;136.985
Total Nacional;;Viajeros transportados;2022M08;98.486
Total Nacional;;Viajeros transportados;2022M07;114.873
Total Nacional;;Viajeros transportados;2022M06;130.876
Total Nacional;;Viajeros transportados;2022M05;137.387
Total Nacional;;Viajeros transportados;2022M04;122.648
Total Nacional;;Viajeros transportados;2022M03;137.067
Total Nacional;;Viajeros transportados;2022M02;115.726
Total Nacional;;Viajeros transportados;2022M01;105.336
Total Nacional;;Viajeros transportados;2021M12;113.493
Total Nacional;;Viajeros transportados;2021M11;127.400
Total Nacional;;Viajeros transportados;2021M10;125.854
Total Nacional;;Viajeros transportados;2021M09;115.300
Total Nacional;;Viajeros transportados;2021M08;81.481
Total Nacional;;Viajeros transportados;2021M07;100.194
Total Nacional;;Viajeros transportados;2021M06;109.939
Total Nacional;;Viajeros transportados;2021M05;106.257
Total Nacional;;Viajeros transportados;2021M04;96.822
Total Nacional;;Viajeros transportados;2021M03;101.764
Total Nacional;;Viajeros transportados;2021M02;83.892
Total Nacional;;Viajeros transportados;2021M01;73.312
Total Nacional;;Viajeros transportados;2020M12;90.944
Total Nacional;;Viajeros transportados;2020M11;90.395
Total Nacional;;Viajeros transportados;2020M10;97.943
Total Nacional;;Viajeros transportados;2020M09;88.647
Total Nacional;;Viajeros transportados;2020M08;67.601
Total Nacional;;Viajeros transportados;2020M07;82.137
Total Nacional;;Viajeros transportados;2020M06;64.066
Total Nacional;;Viajeros transportados;2020M05;27.903
Total Nacional;;Viajeros transportados;2020M04;12.687
Total Nacional;;Viajeros transportados;2020M03;74.239
Total Nacional;;Viajeros transportados;2020M02;158.355
